CATEGORIA;LINHA;MODELO;TIPO;COD;DESCRITIVO; TABELA A ; TABELA B ; TABELA C ; Variação 
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;ANEL CANOLA TITANIUM VERMELHO - LISO; 38.46 ; - ; - ;
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;ANEL ALGODAO TITANIUM; 12.16 ; - ; - ;
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;ANEL TITANIUM GIRASSOL (MILHO); 12.16 ; - ; - ;
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;ANEL AMENDOIM TITANIUM NATURAL LISO; 23.00 ; - ; - ;
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;KIT TITANIUM CANOLA (1050014); 123.08 ; - ; - ;
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;KIT TITANIUM GIRASSOL 48 FUROS (1050031); 147.53 ; - ; - ;
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;CONJUNTO DISCO/ANEIS TITANIUM FEIJAO 50 FUROS (1060001); 169.22 ; - ; - ;
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;CONJUNTO DISCO/ANEIS TITANIUM MILHO 28 FUROS (1060002); 52.83 ; - ; - ;
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;CONJUNTO DISCO/ANEIS TITANIUM SOJA 90 FUROS (1060003); 67.64 ; - ; - ;
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;CONJUNTO DISCO/ANEIS TITANIUM SORGO 90 FUROS (1060004); 55.65 ; - ; - ;
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;CONJUNTO DISCO/ANEIS TITANIUM ALGODAO 108 FUROS (1060006); 62.84 ; - ; - ;
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;CONJUNTO DISCO/ANEL TITANIUM CANOLA 128 FUROS (1060016); 70.77 ; - ; - ;
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;CONJUNTO DISCO/ANEIS TITANIUM SOJA 135 FUROS (1060021); 73.32 ; - ; - ;
Discoso e anéis;TITANIUM;TITANIUM;Acessório;-;CONJUNTO DISCO/ANEIS TITANIUM FEIJAO CARIOQUINHA 56 FUROS (1060022); 84.76 ; - ; - ;
Dosadores;TITANIUM;TITANIUM;Acessório;1050007;KIT SUBCONJUNTO ESCOVAFLEX; 23.08 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010005;POLIFLOW TITANIUM; 9.23 ;;;
Dosadores;TITANIUM;TITANIUM;Peças de reposição;2010002;ANTIPULO; 4.62 ;;;
