CATEGORIA;LINHA;MODELO;COD;DESCRITIVO;Furos;Medida;COR
DISCOS E ANÉIS;APOLLO;JUMIL;1020013;ANEL SOJA;-;3 LISO;LILAS
DISCOS E ANÉIS;APOLLO;JUMIL;1020052;ANEL SOJA;-;3 REB 1;ROXO
DISCOS E ANÉIS;APOLLO;UNIVERSAL;1020012;ANEL SOJA;-;4 LISO;LARANJA
DISCOS E ANÉIS;APOLLO;UNIVERSAL;1020033;ANEL SOJA;-;4 REB 1;LARANJA CLARO
DISCOS E ANÉIS;APOLLO;UNIVERSAL;1020011;ANEL SOJA;-;3 LISO;LILAS
DISCOS E ANÉIS;APOLLO;UNIVERSAL;1020034;ANEL SOJA;-;3 REB 0.8;ROXO
DISCOS E ANÉIS;APOLLO;TITANIUM;1020023;ANEL SOJA;-;4 LISO;AMARELO
DISCOS E ANÉIS;APOLLO;TITANIUM;1020055;ANEL SOJA PARA DISCO 135;-;4 LISO;AMARELO
DISCOS E ANÉIS;APOLLO;TITANIUM;1020022;ANEL SOJA;-;4 LISO;LARANJA
DISCOS E ANÉIS;APOLLO;TITANIUM;1020057;ANEL SOJA PARA DISCO 135;-;4 LISO;LARANJA
DISCOS E ANÉIS;APOLLO;TITANIUM;1020024;ANEL SOJA;-; 4 REB 1;LARANJA CLARO
DISCOS E ANÉIS;APOLLO;TITANIUM;1020056;ANEL SOJA PARA DISCO 135;-; 4 REB 1;LARANJA CLARO
DISCOS E ANÉIS;APOLLO;TITANIUM;1020020;ANEL SOJA;-;3 LISO;LILAS
DISCOS E ANÉIS;APOLLO;TITANIUM;1020053;ANEL SOJA PARA DISCO 135;-;3 LISO;LILAS
DISCOS E ANÉIS;APOLLO;TITANIUM;1020021;ANEL SOJA;-;3 REB 0.8;ROXO
DISCOS E ANÉIS;APOLLO;TITANIUM;1020054;ANEL SOJA PARA DISCO 135;-;3 REB 0.8;ROXO
DISCOS E ANÉIS;APOLLO;JUMIL;1020067;ANEL SORGO;-;5.5 LISO;BRANCO
DISCOS E ANÉIS;APOLLO;UNIVERSAL;1020036;ANEL SORGO;-;5.5 LISO;BRANCO
DISCOS E ANÉIS;APOLLO;TITANIUM;1020035;ANEL SORGO;-;6.5 LISO;BRANCO
DISCOS E ANÉIS;APOLLO;TITANIUM;1020030;ANEL SORGO;-;6.5 LISO;CINZA ESCURO
