60,Dosadores,TITANIUM,TITANIUM,Peças de reposição,2010326,CONDUTOR DE SEMENTES TITANIUM SM1,16.56,16.56,16.56,-
61,Dosadores,TITANIUM,TITANIUM,Peças de reposição,2010170,CONDUTOR DE SEMENTES TITANIUM J1,22.19,22.19,22.19,-
62,Dosadores,TITANIUM,TITANIUM,Peças de reposição,2010124,CONDUTOR DE SEMENTES TITANIUM BD1/TT1,16.80,16.80,16.80,-
63,Dosadores,TITANIUM,TITANIUM,Peças de reposição,2010114,COROA TITANIUM BD1/TT1 (PARA MOD ADAP BARQUINHA),41.90,41.90,41.90,-
64,Dosadores,TITANIUM,TITANIUM,Peças de reposição,2010117,PARAFUSO DA COROA TITANIUM BD1/TT1 USINADO,11.64,11.64,11.64,-
65,Dosadores,TITANIUM,TITANIUM,Peças de reposição,2010171,PINHAO 10 DENTES BD1/TT1,9.31,9.31,9.31,-
66,Dosadores,TITANIUM,TITANIUM,Peças de reposição,2010038,BUCHA DE CELERON J1 19X28X35MM,9.26,9.26,9.26,-
67,Dosadores,TITANIUM,TITANIUM,Peças de reposição,1050059,KIT BUCHA DE CELERON VT1,29.10,29.10,29.10,-
68,Dosadores,TITANIUM,TITANIUM,Peças de reposição,2010174,PARAFUSO DA COROA TITANIUM KH1,28.94,28.94,28.94,-
69,Sensor de fluxo,VISUM,-,Peças de reposição,6010165,ANTENA RF G906 2.4GHZ 5DBI - AND GLOBAL,54.57,54.57,54.57,-
70,Sensor de fluxo,VISUM,-,Peças de reposição,2010105,MANGOTE VISUM ADUBO,9.33,9.33,9.33,-
71,Sensor de fluxo,VISUM,-,Peças de reposição,2010250,ACOPLAMENTO SUPERIOR VISUM GRAOS FINOS BEGEBOR 145,8.05,8.05,8.05,-
72,Sensor de fluxo,VISUM,-,Peças de reposição,2010495,ACOPLAMENTO SUPERIOR VISUM ADUBO JD,25.52,25.52,25.52,-
73,Sensor de fluxo,VISUM,-,Peças de reposição,2010337,ACOPLAMENTO VISUM  RIGIDO Ø1 1/2,37.17,37.17,37.17,-
74,Sensor de fluxo,VISUM,-,Peças de reposição,2010106,CAPA DE ISOLACAO VISUM ADUBO AMARELA PANTONE 123 C,19.13,19.13,19.13,-
75,Dosadores,TITANIUM,TITANIUM,Produto,1030001,CONJUNTO TITANIUM COM KIT MONTAGEM CAIXA DE SEMENTE,1419.07,1419.07,1419.07,-
76,Dosadores,TITANIUM,TITANIUM,Acessório,1060002,CONJUNTO DISCOS/ANEIS MILHO TITANIUM,52.83,52.83,52.83,-
77,Dosadores,TITANIUM,TITANIUM,Acessório,1060003,CONJUNTO DISCOS/ANEIS SOJA TITANIUM,67.64,67.64,67.64,-
78,Dosadores,TITANIUM,JUMIL,Acessório,1070001,KIT ADAPTAÇÃO TITANIUM JUMIL,193.79,193.79,193.79,-
79,Dosadores,TITANIUM,STARA,Acessório,1070003,KIT ADAPTAÇÃO TITANIUM STARA,193.79,193.79,193.79,-
80,Dosadores,TITANIUM,BALDAN,Acessório,1070004,KIT ADAPTAÇÃO TITANIUM BALDAN,250.05,250.05,250.05,-
81,Dosadores,TITANIUM,KUHN,Acessório,1070005,KIT ADAPTAÇÃO TITANIUM KUHN,168.78,168.78,168.78,-
82,Dosadores,TITANIUM,SEMEATO/SFIL(PSM),Acessório,1070006,KIT ADAPTAÇÃO TITANIUM TATU/SEMEATO/SFIL(PSM),168.78,168.78,168.78,-
83,Dosadores,TITANIUM,PLANTICENTER G3,Acessório,1070007,KIT ADAPTAÇÃO TITANIUM PLANTICENTER G3,168.78,168.78,168.78,-
84,Dosadores,TITANIUM,PLANTICENTER G4,Acessório,1070008,KIT ADAPTAÇÃO TITANIUM PLANTICENTER G4,168.78,168.78,168.78,-
85,Dosadores,TITANIUM,AGCO1,Acessório,1070011,KIT ADATACAO TITANIUM AGCO1,193.79,193.79,193.79,-
86,Dosadores,TITANIUM,AGCO2,Acessório,1070010,KIT ADATACAO TITANIUM AGCO2,193.79,193.79,193.79,-
87,Dosadores,TITANIUM,FANKHAUSER,Acessório,1070009,KIT ADATACAO TITANIUM FANKHAUSER,250.05,250.05,250.05,-
88,Dosadores,TITANIUM,SEMEATO SOL,Acessório,1070013,KIT ADATACAO TITANIUM SEMEATO SOL,250.05,250.05,250.05,-
89,Dosadores,TITANIUM,SEMEATO SOL,Acessório,1070014,KIT ADATACAO TITANIUM SEMEATO SOL COM CHASSI CURTO,350.07,350.07,350.07,-
